Id,Text,Sentiment,Aspect
0," Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",positive,LAPTOP_GENERAL
0," Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",positive,LAPTOP_OPERATION_PERFORMANCE
0," Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",positive,HARD_DISC_DESIGN_FEATURES
0," Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",positive,LAPTOP_QUALITY
0," Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",negative,DISPLAY_QUALITY
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_DESIGN_FEATURES
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,KEYBOARD_GENERAL
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_OPERATION_PERFORMANCE
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_GENERAL
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_USABILITY
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_QUALITY
1," I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",positive,LAPTOP_PRICE
2," I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",positive,LAPTOP_GENERAL
2," I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",positive,LAPTOP_DESIGN_FEATURES
2," I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",positive,COMPANY_GENERAL
2," I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",negative,LAPTOP_USABILITY
3, I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,negative,LAPTOP_GENERAL
3, I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,negative,LAPTOP_PRICE
